C1_315080600H_000294,澎湖縣,白沙鄉,澎湖縣白沙鄉通梁碼頭前,119.556,23.65647
C1_315080600H_000295,澎湖縣,湖西鄉,澎湖縣湖西鄉隘門三聖殿東南方牛車路段上,119.637,23.56133
C1_315080600H_000296,澎湖縣,湖西鄉,澎湖縣湖西鄉龍門村落東北方，後灣沙灘西內側,119.678,23.56583
C1_315080600H_000297,澎湖縣,湖西鄉,澎湖縣湖西鄉於南寮社區計12處石敢當,119.668,23.587
C1_315080600H_000298,澎湖縣,,澎湖縣湖西鄉白坑沙灘北側，坐落於白坑後碧海潮間帶上,119.66,23.60356
C1_315080600H_000299,澎湖縣,湖西鄉,澎湖縣湖西鄉內計有石敢當5處,119.656,23.59569
C1_315080600H_000300,澎湖縣,湖西鄉,澎湖縣湖西鄉坐落青螺村虎頭山，鄰近青螺漁港,119.65,23.60358
C1_315080600H_000301,澎湖縣,湖西鄉,澎湖縣湖西鄉紅羅北極殿東方澎41鄉道段上,119.645,23.58644
C1_315080600H_000302,澎湖縣,湖西鄉,澎湖縣湖西鄉沙港中漁港旁潮間帶，俗稱花後海上,119.62635,23.60598
C1_315080600H_000303,澎湖縣,湖西鄉,澎湖縣湖西鄉沙港村土地公前北極殿西北方,119.629,23.60547
C1_315080600H_000304,澎湖縣,湖西鄉,澎湖縣湖西鄉沙港村內計有16處石敢當,119.625,23.60169
C1_315080600H_000307,澎湖縣,馬公市,澎湖縣馬公市臨海路36-1號,119.56079,23.56233
C1_315080600H_000308,澎湖縣,馬公市,澎湖縣馬公市澎湖縣馬公市臨海路,119.56816,23.56373
C1_315080600H_000309,澎湖縣,西嶼鄉,澎湖縣西嶼鄉竹灣村,119.51367,23.63243
C1_315080600H_000310,澎湖縣,西嶼鄉,澎湖縣西嶼鄉牛心山,119.51406,23.57373
C1_315080600H_000311,澎湖縣,白沙鄉,澎湖縣白沙鄉大倉嶼,119.56889,23.61944
C1_315080800H_000012,花蓮縣,鳳林鎮,花蓮縣975鳳林鎮林榮里永福街20號,121.46304,23.802
C1_315080800H_000014,花蓮縣,鳳林鎮,花蓮縣975鳳林鎮鳳凰路300號,121.42556,23.75669
C1_315080800H_000015,花蓮縣,鳳林鎮,花蓮縣975鳳林鎮大榮里及北林里,121.45708,23.74422
C1_315080800H_000016,花蓮縣,鳳林鎮,花蓮縣975鳳林鎮,121.48866,23.73161
C1_315080800H_000027,花蓮縣,瑞穗鄉,花蓮縣978瑞穗鄉瑞良村中山路3段215號 (瑞穗火車站前直走大約5公里於193線88k處),121.40171,23.48798
C1_315080800H_000028,花蓮縣,萬榮鄉,花蓮縣978瑞穗鄉 (紅葉溫泉屬萬榮鄉行政區，但若要前往則是從瑞穗鄉的溫泉路往中央山脈方向，臺9線269.8K西側轉入),121.34467,23.49528
C1_315080800H_000032,花蓮縣,瑞穗鄉,花蓮縣978瑞穗鄉舞鶴村 (臺9線大約275.5K東側),121.3574,23.46573
C1_315080800H_000036,花蓮縣,玉里鎮,花蓮縣981玉里鎮樂合里,121.34227,23.28032
C1_315080800H_000039,花蓮縣,富里鄉,花蓮縣983富里鄉羅山村9鄰東湖39號,121.27619,23.20161
C1_315080800H_000044,臺東縣,池上鄉,臺東縣958池上鄉新興村110號(約臺九線323.2K西側轉入),121.19633,23.10913
C1_315080800H_000052,臺東縣,鹿野鄉,臺東縣955鹿野鄉高臺路46號,121.13414,22.92669
