C1_315081100H_000071,每日10:00-17:30，平日公休,,150元,休閒娛樂
C1_315081100H_000072,每日09:00-18:00,,,自然之旅
C1_315081100H_000073,每日08:00-21:00,,,歷史古蹟
C1_315081100H_000074,每日,,,戶外運動
C1_315081100H_000075,每日10:00-16:00，假日公休,,,觀光工廠
C1_315081100H_000078,每日10:00-16:00,,,觀光工廠
C1_315081100H_000079,每日,,,自然之旅
C1_315081100H_000080,每日09:30-17:30,,,特色館區
C1_315081100H_000082,每日09:00-17:00,,,休閒娛樂
C1_315081100H_000083,每日08:00-16:00,,,花園農場
C1_315081100H_000084,每日09:00-17:00,,,休閒娛樂
C1_315081100H_000085,每日,,,戶外運動
C1_315081100H_000086,每日09:30-17:30,,,休閒娛樂
C1_315081100H_000089,每日07:00-16:30,,,歷史古蹟
C1_315081100H_000093,每日6:00-22:00,,,歷史古蹟
C1_315081100H_000094,每日9:00-17:00 ,停車場,,休閒娛樂
C1_315081100H_000095,每日05:00-17:00,,,歷史古蹟
C1_315081100H_000096,每日,,,自然之旅
C1_315081100H_000097,每日05:00-21:00,,,歷史古蹟
C1_315081100H_000098,每日09:00-17:00，平日公休,,,歷史古蹟
C1_315081100H_000099,每日09:00~16:30，週一公休,,,自然之旅
C1_315081100H_000100,,,,花園農場
C1_315081100H_000104,,,,戶外運動
C1_315081100H_000105,每日,,,戶外運動
C1_315081100H_000106,,,請電洽,特色館區
C1_315081100H_000107,每日09:00-17:00，週三公休 ,,,特色館區
C1_315081100H_000108,每日,,,戶外運動
C1_315081100H_000110,每日10:30-16:00,停車場,請電洽,休閒娛樂
C1_315081100H_000115,每日,,,戶外運動
C1_315081100H_000117,每日,,,特色館區
C1_315081100H_000118,每日,,,戶外運動
C1_315081100H_000122,每日07:00-17:30,,,歷史古蹟
C1_315081100H_000123,每日,,,歷史古蹟
C1_315081100H_000126,,,,休閒娛樂
C1_315081100H_000270,每日10:00-18:00，週二公休,,,觀光商圈
C1_315081100H_000271,,,,休閒娛樂
C1_315081100H_000276,,,,休閒娛樂
C1_315081100H_000325,每日,,,休閒娛樂
C1_315081100H_000328,每日,停車場、路邊,,教育資源
C1_315081100H_000364,每日09:00-17:00,,,特色館區
C1_315081100H_000434,,,,自然之旅
C1_315081100H_000435,每日,,,公園綠地
C1_315081200H_000010,每日,,,公園綠地
C1_315081200H_000014,每日11:00-15:30,,,休閒娛樂
C1_315081200H_000016,每日,,,自然之旅
C1_315081200H_000018,每日,,,戶外運動
C1_315081200H_000021,每日,,,公園綠地
C1_315081200H_000080,每日,,,公園綠地
C1_315081200H_000082,每日,,,歷史古蹟
C1_315081200H_000083,每日,,,自然之旅
C1_315081200H_000084,每日,,,觀光商圈
C1_315081200H_000085,每日,,,自然之旅
C1_315081200H_000096,每日,,,戶外運動
C1_315081200H_000099,每日,,,歷史古蹟
C1_315081200H_000103,每日,,,自然之旅
C1_315081200H_000104,每日,,,休閒娛樂
C1_315081200H_000105,每日,,,特色館區
C1_315081200H_000106,每日,,,戶外運動
C1_315081200H_000107,每日,,,公園綠地
C1_315081200H_000108,每日07:00-20:00,,,花園農場
C1_315081200H_000109,每日,,,特色館區
C1_315081200H_000110,每日,,,休閒娛樂
C1_315081200H_000111,每日,,,休閒娛樂
C1_315081200H_000112,每日,,,花園農場
C1_315081200H_000114,每日09:00-17:00,,,特色館區
C1_315081200H_000115,每日,,,特色館區
C1_315081200H_000116,每日08:00-17:00,,,自然之旅
C1_315081200H_000118,每日,,,戶外運動
C1_315081200H_000119,每日,,,休閒娛樂
C1_315081200H_000120,每日,,,歷史古蹟
C1_315081200H_000121,每日,,,休閒娛樂
C1_315081200H_000122,每日,,,歷史古蹟
C1_315081200H_000123,每日08:30-17:30,,,戶外運動
C1_315081200H_000124,每日,,,歷史古蹟
C1_315081200H_000126,每日,,,自然之旅
C1_315081200H_000127,每日,,,休閒娛樂
